,Title,Release_Year,Duration,Synopsis,Genre,Watch_Date,Rate,Imbb_Rate,image_id
10,Source Code,(2011),1 hr 33 min,"
A soldier wakes up in someone else's body and discovers he's part of an experimental government program to find the bomber of a commuter train within 8 minutes.    ","
Action, Drama, Mystery            ",10 Sep 2022,10,7.5,"https://m.media-amazon.com/images/M/MV5BMTY0MTc3MzMzNV5BMl5BanBnXkFtZTcwNDE4MjE0NA@@._V1_UY209_CR0,0,140,209_AL_.jpg"
11,Thor: Love and Thunder,(2022),1 hr 58 min,"
Thor enlists the help of Valkyrie, Korg and ex-girlfriend Jane Foster to fight Gorr the God Butcher, who intends to make the gods extinct.    ","
Action, Adventure, Comedy            ",08 Sep 2022,4,6.3,"https://m.media-amazon.com/images/M/MV5BYmMxZWRiMTgtZjM0Ny00NDQxLWIxYWQtZDdlNDNkOTEzYTdlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY209_CR0,0,140,209_AL_.jpg"
12,Signs,(2002),1 hr 46 min,"
A widowed former reverend living with his children and brother on a Pennsylvania farm finds mysterious crop circles in their fields, which suggests something more frightening to come.    ","
Drama, Mystery, Sci-Fi            ",07 Sep 2022,7,6.8,"https://m.media-amazon.com/images/M/MV5BNDUwMDUyMDAyNF5BMl5BanBnXkFtZTYwMDQ3NzM3._V1_UY209_CR0,0,140,209_AL_.jpg"
13,Contratiempo,(2016),1 hr 46 min,"
A successful entrepreneur accused of murder and a witness preparation expert have less than three hours to come up with an impregnable defense.    ","
Crime, Drama, Mystery            ",06 Sep 2022,10,8,"https://m.media-amazon.com/images/M/MV5BOTEwYTkzMTMtODEzNC00YWM2LTgxNDMtZWNkNTQzNDVjMWQ2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMDY4NTQ1MA@@._V1_UY209_CR3,0,140,209_AL_.jpg"
14,X,(II) (2022),1 hr 45 min,"
In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the cast find themselves fighting for their lives.    ","
Horror, Mystery, Thriller            ",06 Sep 2022,2,6.6,"https://m.media-amazon.com/images/M/MV5BMTJiMmE5YWItOWZjYS00YTg0LWE0MTYtMzg2ZTY4YjNkNDEzXkEyXkFqcGdeQXVyMTAzMDg4NzU0._V1_UY209_CR13,0,140,209_AL_.jpg"
15,Finch,(2021),1 hr 55 min,"
On a post-apocalyptic Earth, a robot, built to protect the life of his creator's beloved dog learns about life, love, friendship and what it means to be human.    ","
Adventure, Drama, Sci-Fi            ",25 Aug 2022,6,6.9,"https://m.media-amazon.com/images/M/MV5BZTMxYjk3MmItMzk1OC00NmRhLThlMjYtNmQyNzA0MzgxMWI2XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UY209_CR0,0,140,209_AL_.jpg"
16,Minions: The Rise of Gru,(2022),1 hr 27 min,"
The untold story of one twelve-year-old's dream to become the world's greatest supervillain.    ","
Animation, Adventure, Comedy            ",19 Aug 2022,4,6.6,"https://m.media-amazon.com/images/M/MV5BZDQyODUwM2MtNzA0YS00ZjdmLTgzMjItZWRjN2YyYWE5ZTNjXkEyXkFqcGdeQXVyMTI2MzY1MjM1._V1_UX140_CR0,0,140,209_AL_.jpg"
17,Resident Evil,(2022),1 hr,"
Nearly three decades after the discovery of the T-virus, an outbreak reveals the Umbrella Corporation's dark secrets.    ","
Action, Horror, Sci-Fi            ",29 Jul 2022,6,4.1,"https://m.media-amazon.com/images/M/MV5BMmVhNzY5YjItMTBlNC00N2ZmLWE5ZGYtMTUzMDA0YjEwOGY0XkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_UY209_CR0,0,140,209_AL_.jpg"
18,Stranger Things,(2016– ),51 min,"
When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.    ","
Drama, Fantasy, Horror            ",29 Jul 2022,8,8.7,"https://m.media-amazon.com/images/M/MV5BMDZkYmVhNjMtNWU4MC00MDQxLWE3MjYtZGMzZWI1ZjhlOWJmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY209_CR13,0,140,209_AL_.jpg"
19,Ouija: Origin of Evil,(2016),1 hr 39 min,"
In 1967 Los Angeles, a widowed mother and her daughters add a new stunt to bolster their seance scam business by inviting an evil presence into their home, not realizing how dangerous it is.    ","
Drama, Horror, Mystery            ",12 Jul 2022,7,6.2,"https://m.media-amazon.com/images/M/MV5BMTk4NTcxNTQ5NF5BMl5BanBnXkFtZTgwNTk5OTU4OTE@._V1_UY209_CR0,0,140,209_AL_.jpg"
20,Choose or Die,(2022),1 hr 24 min,"
After firing up a lost 1980s survival horror game, a young coder unleashes a hidden curse that tears reality apart, forcing her to make terrifying decisions and face deadly consequences.    ","
Drama, Horror, Thriller            ",12 Jul 2022,5,4.8,"https://m.media-amazon.com/images/M/MV5BMTRkN2ZkOWMtYzYzMS00OGQzLTljZTAtYmI1MjQ0NjUzYjJhXkEyXkFqcGdeQXVyMTk3NjY1NjM@._V1_UY209_CR13,0,140,209_AL_.jpg"
21,Ezel,(2009–2011),1 hr 30 min,"
Betrayed by his trusted friends and the woman he loved, Ömer Uçar returns as Ezel to exact his vengeance.    ","
Crime, Drama, Thriller            ",03 Jul 2022,10,8.7,"https://m.media-amazon.com/images/M/MV5BMjIzOTY1YTYtNmRhMC00MzAxLWEzMzUtM2ZiMmYwNTY0MjMyXkEyXkFqcGdeQXVyNDg4MjkzNDk@._V1_UY209_CR4,0,140,209_AL_.jpg"
22,Yakamoz S-245,(2022),45 min,"
After disaster strikes Earth, a marine biologist on a submarine research mission must fight to survive with the crew as a conspiracy comes to light.    ","
Action, Adventure, Drama            ",11 May 2022,10,6.1,"https://m.media-amazon.com/images/M/MV5BMTExYzViMzktNDcxZi00ZjRmLWEzNGQtZTIyMzRiNWVkMzg1XkEyXkFqcGdeQXVyNDg4MjkzNDk@._V1_UX140_CR0,0,140,209_AL_.jpg"
